Geneid,Auxin1,Auxin2,Control1,Control2
FBgn0023523,97,84,57,52
FBgn0023527,358,441,313,378
FBgn0040391,41,38,44,58
FBgn0053218,6,4,3,9
FBgn0003079,392,405,293,360
FBgn0003159,174,199,282,328
FBgn0040389,117,129,95,119
FBgn0044047,366,407,423,451
FBgn0040392,167,147,300,249
FBgn0023526,4734,4618,3740,4225
FBgn0023529,701,865,624,755
FBgn0023528,672,846,555,564
FBgn0027296,253,280,154,190
FBgn0023524,41,27,32,23
FBgn0023525,78,63,65,56
FBgn0000377,390,388,243,282
FBgn0001330,216,251,170,200
FBgn0004397,1773,1902,1588,1513
FBgn0023550,5,1,1,0
FBgn0029603,11,10,4,9
FBgn0023542,343,404,269,311
FBgn0023541,12,19,11,16
FBgn0005670,0,0,1,0
FBgn0004655,654,661,529,528
FBgn0013432,249,307,134,150
FBgn0004861,3005,3168,2925,3137
FBgn0004860,3565,3716,3468,3749
FBgn0040394,479,498,408,438
FBgn0040376,4,4,1,1
FBgn0040066,397,456,396,429
FBgn0001404,1036,1076,992,961
FBgn0040336,164,161,147,160
FBgn0040333,2,2,3,1
FBgn0040334,274,294,236,258
FBgn0029629,693,791,560,711
FBgn0011566,100,105,88,109
FBgn0011606,513,429,464,418
FBgn0040375,1141,1251,1086,1187
FBgn0040377,93,94,49,63
FBgn0040388,373,507,983,1181
FBgn0003714,151,152,136,153
FBgn0001150,100,122,99,138
FBgn0052797,42,45,43,53
FBgn0040385,0,1,1,3
FBgn0003371,3664,3968,4104,4481
FBgn0003068,489,643,228,255
FBgn0024993,197,207,122,161
FBgn0024996,390,459,332,384
FBgn0024997,130,143,125,148
FBgn0024991,602,592,515,454
FBgn0000928,259,270,269,248
FBgn0000927,63,51,39,54
FBgn0000520,629,661,396,439
FBgn0024975,144,163,130,163
FBgn0040356,1,1,2,3
FBgn0003996,5,6,3,3
FBgn0040384,88,100,99,84
FBgn0024980,219,273,282,238
FBgn0000376,423,449,392,436
FBgn0024973,387,456,304,374
FBgn0024998,221,301,216,213
FBgn0024995,15,33,38,45
FBgn0024994,415,386,314,395
FBgn0024992,785,911,600,733
FBgn0000092,99,119,64,71
FBgn0025838,3,5,1,9
FBgn0011276,12,14,4,5
FBgn0004647,4127,4294,5002,5572
FBgn0040396,109,157,129,122
FBgn0000479,2447,2618,3151,3505
FBgn0002933,0,0,0,0
FBgn0003374,0,0,0,0
FBgn0029660,146,164,104,106
FBgn0029662,272,295,464,448
FBgn0029661,22,20,41,27
FBgn0029659,8,12,8,8
FBgn0029658,67,69,46,55
FBgn0052493,3181,3575,3713,3805
FBgn0029657,417,452,404,475
FBgn0003086,0,0,0,0
FBgn0010296,0,0,0,0
FBgn0010295,0,0,0,0
FBgn0010294,0,0,0,0
FBgn0040393,0,1,0,1
FBgn0000644,0,1,3,1
FBgn0028746,360,453,411,371
FBgn0040355,6,9,3,1
FBgn0052793,2,2,0,1
FBgn0029642,0,2,0,1
FBgn0025645,0,2,0,0
FBgn0029643,0,0,2,1
FBgn0029644,0,1,0,0
FBgn0029645,1,0,0,0
FBgn0029646,3,2,3,1
FBgn0029647,0,0,3,0
FBgn0029648,259,284,201,223
FBgn0028369,300,318,396,339
FBgn0029649,1,0,0,0
FBgn0003285,743,769,567,691
FBgn0025644,0,0,0,0
FBgn0029639,16,11,24,16
FBgn0040354,5,8,3,2
FBgn0040353,0,0,0,0
FBgn0040352,1,1,0,0
FBgn0029664,730,876,568,647
FBgn0029666,586,674,523,522
FBgn0029669,10,16,8,7
FBgn0052792,11,12,1,4
FBgn0044046,0,0,1,1
FBgn0023215,1006,990,1123,1053
