Geneid,CHD1fem1,CHD1fem2,OREfem1,OREfem2
FBgn0023527,42,46,147,127
FBgn0040391,30,8,37,65
FBgn0053218,12,6,17,14
FBgn0003079,210,161,452,320
FBgn0003159,517,270,736,609
FBgn0040389,12,12,77,50
FBgn0044047,207,98,335,241
FBgn0040392,21,10,46,51
FBgn0023526,213,103,958,598
FBgn0023529,465,363,1490,1349
FBgn0023528,278,160,728,536
FBgn0027296,137,56,267,167
FBgn0023524,277,195,716,630
FBgn0023525,90,38,136,120
FBgn0000377,68,42,151,119
FBgn0001330,32,12,142,78
FBgn0004397,942,602,1729,1439
FBgn0023550,59,49,57,59
FBgn0029603,2,4,17,16
FBgn0023542,65,46,223,118
FBgn0023541,0,0,0,0
FBgn0005670,58,28,22,16
FBgn0004655,628,430,1398,1162
FBgn0013432,43,20,119,69
FBgn0004861,462,237,780,636
FBgn0004860,415,235,778,495
FBgn0040394,120,109,238,182
FBgn0040376,10,4,32,28
FBgn0040066,58,32,187,91
FBgn0001404,638,343,1419,904
FBgn0040336,33,12,83,59
FBgn0040333,1,2,14,5
FBgn0040334,40,18,82,92
FBgn0029629,164,94,498,384
FBgn0011566,65,49,145,104
FBgn0011606,11,17,32,20
FBgn0040375,57,39,114,142
FBgn0040377,16,22,79,59
FBgn0040388,36,26,86,55
FBgn0003714,44,39,155,140
FBgn0001150,125,45,147,162
FBgn0052797,4,4,10,4
FBgn0040385,4,0,10,8
FBgn0003371,2090,1200,5996,4466
FBgn0003068,1285,570,2161,1253
FBgn0024993,14,23,44,26
FBgn0024996,68,34,160,101
FBgn0024997,111,75,282,237
FBgn0024991,30,12,78,38
FBgn0000928,0,2,0,1
FBgn0000927,0,0,0,0
FBgn0000520,81,30,125,100
FBgn0024975,30,13,56,36
FBgn0040356,0,0,6,4
FBgn0003996,0,6,237,183
FBgn0040384,146,95,452,362
FBgn0024980,71,34,147,97
FBgn0000376,156,99,304,298
FBgn0024973,158,96,234,190
FBgn0024998,55,18,100,91
FBgn0024995,24,18,63,56
FBgn0024994,42,22,87,52
FBgn0024992,161,80,270,229
