Geneid,CHD1fem1,CHD1fem2,CHD1male1,CHD1male2,OREfem1,OREfem2,OREmale1,OREmale2
FBgn0024897,32,45,110,14,53,130,147,91
FBgn0025391,94,75,196,59,210,169,295,291
FBgn0025378,2,0,0,0,0,0,0,0
FBgn0023130,100,81,241,64,280,224,545,411
FBgn0023530,20,20,25,10,66,66,64,80
FBgn0025390,406,274,513,159,744,610,826,734
FBgn0025393,0,0,0,0,0,0,0,0
FBgn0003517,4110,2867,4593,1647,13407,11139,9439,7712
FBgn0044508,0,0,0,0,0,0,0,0
FBgn0025382,61,32,113,45,86,81,172,162
FBgn0052808,23,13,67,30,63,58,129,86
FBgn0027791,51,37,86,30,117,93,167,137
FBgn0027793,0,2,14,6,10,2,19,17
FBgn0052806,8,2,17,10,14,16,19,20
FBgn0026873,24,14,32,22,48,24,62,56
FBgn0023513,32,25,106,36,72,56,216,138
FBgn0014411,246,137,506,189,504,368,697,587
FBgn0023514,71,46,122,28,216,125,231,157
FBgn0029594,44,35,97,46,100,77,140,168
FBgn0023519,36,23,91,34,89,89,154,130
FBgn0023509,144,86,311,94,398,250,568,460
FBgn0023510,801,516,1756,672,1581,1310,2775,2435
FBgn0023508,457,286,787,321,770,596,1329,1185
FBgn0023522,88,34,131,44,180,118,274,209
FBgn0023521,8,18,24,10,38,30,32,34
FBgn0025627,24,5,36,16,30,39,83,62
FBgn0025630,76,47,97,54,117,96,256,220
FBgn0025629,38,22,83,27,110,84,147,168
FBgn0029596,0,0,3,0,0,2,3,5
FBgn0025626,194,107,293,126,344,325,494,431
FBgn0025625,790,449,1256,512,1360,1307,2546,2176
FBgn0025631,384,235,737,331,952,611,1345,1077
FBgn0026878,6,18,25,8,76,64,43,51
FBgn0000667,733,393,1271,516,1085,774,1545,1348
FBgn0003964,271,185,522,159,445,435,778,678
FBgn0023545,39,25,125,48,158,146,305,220
FBgn0023520,23,12,43,13,68,43,80,77
FBgn0023512,96,67,192,102,220,172,380,346
FBgn0023511,329,188,528,251,599,520,929,722
FBgn0052801,0,0,0,0,0,0,0,0
FBgn0023518,642,337,1101,376,1179,941,1957,1601
FBgn0026088,56,34,88,41,124,76,150,147
FBgn0026089,30,26,68,22,87,41,118,104
FBgn0023517,26,19,44,8,58,74,102,40
FBgn0023516,163,64,269,151,298,292,476,422
FBgn0023515,10,6,80,32,60,18,147,110
FBgn0028969,243,169,480,189,579,409,804,639
FBgn0026090,50,44,128,48,134,113,196,136
FBgn0029590,2,1,4,0,4,2,0,4
FBgn0025624,71,48,149,64,166,117,303,286
FBgn0040395,716,427,1607,771,2168,1459,3388,2921
FBgn0000382,2235,1265,4374,1624,5664,4489,8271,7159
FBgn0023507,546,446,975,368,2119,1585,2045,1712
FBgn0004654,385,299,650,215,925,653,1125,968
FBgn0023540,147,91,219,68,325,165,452,405
FBgn0025839,100,72,233,108,273,180,452,402
FBgn0011576,0,0,0,0,0,0,0,0
FBgn0015036,4,0,3,0,1,2,0,1
FBgn0003116,56,26,125,60,92,60,217,178
FBgn0040899,14,19,16,6,31,24,64,32
FBgn0040900,4,0,25,2,28,19,33,38
FBgn0024984,0,2,0,0,0,2,4,1
FBgn0023549,203,171,377,119,289,246,347,292
FBgn0029606,0,2,6,0,2,4,10,7
FBgn0003048,1061,606,1761,579,1665,1397,2791,2295
FBgn0000810,103,76,252,90,297,223,348,378
FBgn0023523,8,10,19,12,19,4,11,13
FBgn0023527,42,46,156,50,147,127,178,189
FBgn0040391,30,8,40,5,37,65,27,23
FBgn0053218,12,6,6,4,17,14,9,4
FBgn0003079,210,161,434,161,452,320,661,601
FBgn0003159,517,270,738,223,736,609,1228,1015
FBgn0040389,12,12,65,28,77,50,107,60
FBgn0044047,207,98,339,146,335,241,259,239
FBgn0040392,21,10,28,8,46,51,22,26
FBgn0023526,213,103,441,162,958,598,1238,1187
FBgn0023529,465,363,904,413,1490,1349,1896,1583
FBgn0023528,278,160,600,292,728,536,1008,933
FBgn0027296,137,56,291,108,267,167,363,335
FBgn0023524,277,195,658,268,716,630,1503,1217
FBgn0023525,90,38,94,36,136,120,166,122
FBgn0000377,68,42,137,63,151,119,209,202
FBgn0001330,32,12,121,58,142,78,197,160
FBgn0004397,942,602,1650,579,1729,1439,3010,2429
FBgn0023550,59,49,101,24,57,59,97,85
FBgn0029603,2,4,15,2,17,16,15,11
FBgn0023542,65,46,178,86,223,118,256,183
FBgn0023541,0,0,0,0,0,0,0,0
FBgn0005670,58,28,68,49,22,16,39,35
FBgn0004655,628,430,1233,486,1398,1162,2232,1852
FBgn0013432,43,20,76,40,119,69,130,108
FBgn0004861,462,237,751,266,780,636,1259,1088
FBgn0004860,415,235,610,247,778,495,1209,988
FBgn0040394,120,109,202,78,238,182,319,279
FBgn0040376,10,4,16,4,32,28,60,34
FBgn0040066,58,32,108,54,187,91,196,157
FBgn0001404,638,343,1279,541,1419,904,1848,1745
FBgn0040336,33,12,84,28,83,59,116,82
FBgn0040333,1,2,15,2,14,5,45,48
FBgn0040334,40,18,91,43,82,92,115,75
FBgn0029629,164,94,260,113,498,384,533,422
FBgn0011566,65,49,146,24,145,104,150,148
FBgn0011606,11,17,54,14,32,20,56,46
FBgn0040375,57,39,100,49,114,142,219,210
FBgn0040377,16,22,57,35,79,59,177,119
FBgn0040388,36,26,71,30,86,55,117,122
FBgn0003714,44,39,111,51,155,140,226,153
FBgn0001150,125,45,96,23,147,162,229,152
FBgn0052797,4,4,4,2,10,4,12,11
FBgn0040385,4,0,6,2,10,8,12,4
FBgn0003371,2090,1200,4092,1784,5996,4466,8261,6905
FBgn0003068,1285,570,1488,716,2161,1253,3672,2809
FBgn0024993,14,23,34,16,44,26,81,71
FBgn0024996,68,34,101,56,160,101,221,220
FBgn0024997,111,75,139,70,282,237,574,484
FBgn0024991,30,12,77,12,78,38,86,128
FBgn0000928,0,2,26,2,0,1,22,16
FBgn0000927,0,0,7,2,0,0,6,2
FBgn0000520,81,30,146,74,125,100,260,226
FBgn0024975,30,13,51,18,56,36,52,79
FBgn0040356,0,0,1,4,6,4,2,10
FBgn0003996,0,6,20,2,237,183,210,135
FBgn0040384,146,95,265,102,452,362,472,491
FBgn0024980,71,34,117,38,147,97,159,176
FBgn0000376,156,99,291,118,304,298,511,438
FBgn0024973,158,96,223,91,234,190,362,282
FBgn0024998,55,18,101,34,100,91,209,186
FBgn0024995,24,18,58,30,63,56,192,139
FBgn0024994,42,22,114,54,87,52,136,111
FBgn0024992,161,80,272,119,270,229,469,393
FBgn0000092,13,6,19,14,14,10,26,8
FBgn0025838,0,0,4,2,6,2,0,0
FBgn0011276,8,8,8,6,11,13,24,15
FBgn0004647,507,286,822,371,715,543,1087,988
FBgn0040396,28,20,42,24,94,46,99,67
FBgn0000479,1773,906,3200,1298,4290,3511,5398,4910
FBgn0002933,4,0,0,2,2,2,6,0
FBgn0003374,7,2,7,1,5,10,10,12
FBgn0029660,6,6,12,8,30,23,14,14
FBgn0029662,15,4,9,2,30,40,41,22
FBgn0029661,4,2,18,8,10,18,18,10
FBgn0029659,2,4,10,0,6,22,13,18
FBgn0029658,0,0,0,0,2,0,4,8
FBgn0052493,0,0,0,0,0,0,1,0
FBgn0029657,6,8,17,2,22,36,25,21
FBgn0003086,7,6,8,0,8,11,13,16
FBgn0010296,1,0,0,0,4,0,0,2
FBgn0010295,2,2,4,2,4,6,2,6
FBgn0010294,2,0,2,0,2,0,4,0
FBgn0040393,2,4,4,2,12,4,7,12
FBgn0000644,0,0,8,2,6,2,12,4
FBgn0028746,14,21,45,12,82,38,32,44
FBgn0040355,6,0,11,2,14,6,18,13
FBgn0052793,2,5,25,16,21,34,36,19
FBgn0029642,2,3,7,4,2,6,11,5
FBgn0025645,8,6,10,0,16,4,8,3
FBgn0029643,4,8,13,8,10,16,18,13
FBgn0029644,6,4,18,1,12,4,4,16
FBgn0029645,0,0,8,2,14,7,13,8
FBgn0029646,4,2,6,0,14,12,16,14
FBgn0029647,4,2,3,0,12,0,12,9
FBgn0029648,35,14,64,32,32,26,82,65
FBgn0028369,231,105,490,190,606,528,894,875
FBgn0029649,0,0,0,2,4,0,2,0
FBgn0003285,154,67,312,117,300,209,342,317
FBgn0025644,4,2,9,4,9,5,16,8
FBgn0029639,86,77,111,72,334,155,107,107
FBgn0040354,0,4,14,0,26,23,15,21
FBgn0040353,12,4,11,4,17,7,14,20
FBgn0040352,0,2,2,0,17,10,10,2
FBgn0029664,52,36,101,54,99,112,194,163
FBgn0029666,173,93,308,137,500,363,545,516
FBgn0029669,0,4,5,4,2,6,5,13
FBgn0052792,9,2,16,9,36,30,58,43
FBgn0044046,7,4,6,3,2,4,18,12
FBgn0023215,1010,461,1516,604,2022,1271,2543,2363
FBgn0015286,230,134,367,146,467,325,519,551
FBgn0023216,72,43,140,38,130,150,184,198
FBgn0029672,31,22,50,33,141,88,152,132
FBgn0052791,102,59,210,104,386,292,553,493
FBgn0029667,8,9,9,6,22,25,13,34
FBgn0029665,12,20,45,14,70,50,98,52
FBgn0029663,305,162,696,330,747,633,1159,1054
FBgn0052785,0,0,0,0,0,0,2,0
FBgn0025118,0,0,0,0,1,2,1,7
FBgn0028491,79,45,165,77,97,65,178,137
FBgn0029681,2,2,2,2,4,16,7,4
FBgn0029686,25,29,51,19,36,51,102,83
FBgn0052786,1,0,0,0,0,1,0,3
FBgn0052783,0,0,2,2,3,4,5,9
FBgn0029687,786,482,1601,714,2469,1798,2644,2664
FBgn0029690,0,0,0,0,0,0,0,0
FBgn0029689,61,60,148,45,127,144,245,217
FBgn0029688,1901,1130,3350,1231,3511,2992,5452,4494
FBgn0029685,152,95,317,107,253,193,475,410
FBgn0019661,55,79,24007,10138,122,112,39188,37149
FBgn0029694,0,0,0,0,2,0,0,4
FBgn0000221,20,12,30,18,36,28,38,50
FBgn0026084,144,108,355,156,308,240,356,412
FBgn0026085,2,0,8,0,6,0,7,6
FBgn0026083,1801,955,2972,963,3278,2800,5159,4524
FBgn0066114,50,42,89,46,137,124,169,156
FBgn0029697,0,0,0,0,4,0,2,2
FBgn0029701,0,0,0,0,0,0,0,0
FBgn0029702,0,0,0,0,0,0,0,0
